,Unnamed: 0,Name,Team,Number,Position,Age,Height,Weight,College,Salary
30,30,Arron Afflalo,New York Knicks,4,SG,30,177,210,UCLA,8000000.0
31,31,Lou Amundson,New York Knicks,17,PF,33,155,220,UNLV,1635476.0
32,32,Thanasis Antetokounmpo,New York Knicks,43,SF,23,153,205,,30888.0
33,33,Carmelo Anthony,New York Knicks,7,SF,32,159,240,Syracuse,22875000.0
34,34,Jose Calderon,New York Knicks,3,PG,34,177,200,,7402812.0
35,35,Cleanthony Early,New York Knicks,11,SF,25,172,210,Wichita State,845059.0
36,36,Langston Galloway,New York Knicks,2,SG,24,166,200,Saint Joseph's,845059.0
37,37,Jerian Grant,New York Knicks,13,PG,23,175,195,Notre Dame,1572360.0
38,38,Robin Lopez,New York Knicks,8,C,28,155,255,Stanford,12650000.0
39,39,Kyle O'Quinn,New York Knicks,9,PF,26,153,250,Norfolk State,3750000.0
40,40,Kristaps Porzingis,New York Knicks,6,PF,20,155,240,,4131720.0
41,41,Kevin Seraphin,New York Knicks,1,C,26,151,278,,2814000.0
42,42,Lance Thomas,New York Knicks,42,SF,28,165,235,Duke,1636842.0
43,43,Sasha Vujacic,New York Knicks,18,SG,32,165,195,,947276.0
44,44,Derrick Williams,New York Knicks,23,PF,25,160,240,Arizona,4000000.0
45,45,Tony Wroten,New York Knicks,5,SG,23,166,205,Washington,167406.0
46,46,Elton Brand,Philadelphia 76ers,42,PF,37,167,254,Duke,4833969.0
47,47,Isaiah Canaan,Philadelphia 76ers,0,PG,25,173,201,Murray State,947276.0
48,48,Robert Covington,Philadelphia 76ers,33,SF,25,159,215,Tennessee State,1000000.0
49,49,Joel Embiid,Philadelphia 76ers,21,C,22,167,250,Kansas,4626960.0
50,50,Jerami Grant,Philadelphia 76ers,39,SF,22,157,210,Syracuse,845059.0
51,51,Richaun Holmes,Philadelphia 76ers,22,PF,22,162,245,Bowling Green,1074169.0
52,52,Carl Landry,Philadelphia 76ers,7,PF,32,178,248,Purdue,6500000.0
53,53,Kendall Marshall,Philadelphia 76ers,5,PG,24,153,200,North Carolina,2144772.0
54,54,T.J. McConnell,Philadelphia 76ers,12,PG,24,162,200,Arizona,525093.0
55,55,Nerlens Noel,Philadelphia 76ers,4,PF,22,161,228,Kentucky,3457800.0
56,56,Jahlil Okafor,Philadelphia 76ers,8,C,20,151,275,Duke,4582680.0
57,57,Ish Smith,Philadelphia 76ers,1,PG,27,150,175,Wake Forest,947276.0
58,58,Nik Stauskas,Philadelphia 76ers,11,SG,22,166,205,Michigan,2869440.0
59,59,Hollis Thompson,Philadelphia 76ers,31,SG,25,173,206,Georgetown,947276.0
60,60,Christian Wood,Philadelphia 76ers,35,PF,20,166,220,UNLV,525093.0
61,61,Bismack Biyombo,Toronto Raptors,8,C,23,153,245,,2814000.0
62,62,Bruno Caboclo,Toronto Raptors,20,SF,20,172,205,,1524000.0
63,63,DeMarre Carroll,Toronto Raptors,5,SF,29,150,212,Missouri,13600000.0
64,64,DeMar DeRozan,Toronto Raptors,10,SG,26,175,220,USC,10050000.0
65,65,James Johnson,Toronto Raptors,3,PF,29,168,250,Wake Forest,2500000.0
66,66,Cory Joseph,Toronto Raptors,6,PG,24,159,190,Texas,7000000.0
67,67,Kyle Lowry,Toronto Raptors,7,PG,30,156,205,Villanova,12000000.0
68,68,Lucas Nogueira,Toronto Raptors,92,C,23,177,220,,1842000.0
69,69,Patrick Patterson,Toronto Raptors,54,PF,27,157,235,Kentucky,6268675.0
70,70,Norman Powell,Toronto Raptors,24,SG,23,162,215,UCLA,650000.0
71,71,Terrence Ross,Toronto Raptors,31,SF,25,156,195,Washington,3553917.0
72,72,Luis Scola,Toronto Raptors,4,PF,36,167,240,,2900000.0
73,73,Jason Thompson,Toronto Raptors,1,PF,29,175,250,Rider,245177.0
74,74,Jonas Valanciunas,Toronto Raptors,17,C,24,177,255,,4660482.0
75,75,Delon Wright,Toronto Raptors,55,PG,24,174,190,Utah,1509360.0
76,76,Leandro Barbosa,Golden State Warriors,19,SG,33,150,194,,2500000.0
77,77,Harrison Barnes,Golden State Warriors,40,SF,24,171,225,North Carolina,3873398.0
78,78,Andrew Bogut,Golden State Warriors,12,C,31,154,260,Utah,13800000.0
79,79,Ian Clark,Golden State Warriors,21,SG,25,155,175,Belmont,947276.0
80,80,Stephen Curry,Golden State Warriors,30,PG,28,180,190,Davidson,11370786.0
81,81,Festus Ezeli,Golden State Warriors,31,C,26,180,265,Vanderbilt,2008748.0
82,82,Draymond Green,Golden State Warriors,23,PF,26,168,230,Michigan State,14260870.0
83,83,Andre Iguodala,Golden State Warriors,9,SF,32,157,215,Arizona,11710456.0
84,84,Shaun Livingston,Golden State Warriors,34,PG,30,158,192,,5543725.0
85,85,Kevon Looney,Golden State Warriors,36,SF,20,176,220,UCLA,1131960.0
86,86,James Michael McAdoo,Golden State Warriors,20,SF,23,162,240,North Carolina,845059.0
87,87,Brandon Rush,Golden State Warriors,4,SF,30,173,220,Kansas,1270964.0
88,88,Marreese Speights,Golden State Warriors,5,C,28,176,255,Florida,3815000.0
89,89,Klay Thompson,Golden State Warriors,11,SG,26,152,215,Washington State,15501000.0
90,90,Anderson Varejao,Golden State Warriors,18,PF,33,167,273,,289755.0
91,91,Cole Aldrich,Los Angeles Clippers,45,C,27,161,250,Kansas,1100602.0
92,92,Jeff Ayres,Los Angeles Clippers,19,PF,29,151,250,Arizona State,111444.0
93,93,Jamal Crawford,Los Angeles Clippers,11,SG,36,152,195,Michigan,5675000.0
94,94,Branden Dawson,Los Angeles Clippers,22,SF,23,175,225,Michigan State,525093.0
95,95,Jeff Green,Los Angeles Clippers,8,SF,29,178,235,Georgetown,9650000.0
96,96,Blake Griffin,Los Angeles Clippers,32,PF,27,151,251,Oklahoma,18907726.0
97,97,Wesley Johnson,Los Angeles Clippers,33,SF,28,159,215,Syracuse,1100602.0
98,98,DeAndre Jordan,Los Angeles Clippers,6,C,27,172,265,Texas A&M,19689000.0
99,99,Luc Richard Mbah a Moute,Los Angeles Clippers,12,PF,29,162,230,UCLA,947276.0
100,100,Chris Paul,Los Angeles Clippers,3,PG,31,163,175,Wake Forest,21468695.0
101,101,Paul Pierce,Los Angeles Clippers,34,SF,38,150,235,Kansas,3376000.0
102,102,Pablo Prigioni,Los Angeles Clippers,9,PG,39,159,185,,947726.0
103,103,JJ Redick,Los Angeles Clippers,4,SG,31,177,190,Duke,7085000.0
104,104,Austin Rivers,Los Angeles Clippers,25,PG,23,156,200,Duke,3110796.0
105,105,C.J. Wilcox,Los Angeles Clippers,30,SG,25,169,195,Washington,1159680.0
106,106,Brandon Bass,Los Angeles Lakers,2,PF,31,156,250,LSU,3000000.0
107,107,Tarik Black,Los Angeles Lakers,28,C,24,174,250,Kansas,845059.0
108,108,Anthony Brown,Los Angeles Lakers,3,SF,23,153,210,Stanford,700000.0
109,109,Kobe Bryant,Los Angeles Lakers,24,SF,37,171,212,,25000000.0
110,110,Jordan Clarkson,Los Angeles Lakers,6,PG,24,163,194,Missouri,845059.0
111,111,Roy Hibbert,Los Angeles Lakers,17,C,29,157,270,Georgetown,15592217.0
112,112,Marcelo Huertas,Los Angeles Lakers,9,PG,33,167,200,,525093.0
113,113,Ryan Kelly,Los Angeles Lakers,4,PF,25,172,230,Duke,1724250.0
114,114,Larry Nance Jr.,Los Angeles Lakers,7,PF,23,173,230,Wyoming,1155600.0
115,115,Julius Randle,Los Angeles Lakers,30,PF,21,169,250,Kentucky,3132240.0
116,116,D'Angelo Russell,Los Angeles Lakers,1,PG,20,169,195,Ohio State,5103120.0
117,117,Robert Sacre,Los Angeles Lakers,50,C,27,162,270,Gonzaga,981348.0
118,118,Louis Williams,Los Angeles Lakers,23,SG,29,164,175,,7000000.0
119,119,Metta World Peace,Los Angeles Lakers,37,SF,36,180,260,St. John's,947276.0
120,120,Nick Young,Los Angeles Lakers,0,SF,31,162,210,USC,5219169.0
121,121,Eric Bledsoe,Phoenix Suns,2,PG,26,166,190,Kentucky,13500000.0
122,122,Devin Booker,Phoenix Suns,1,SG,19,172,206,Kentucky,2127840.0
123,123,Chase Budinger,Phoenix Suns,10,SF,28,154,209,Arizona,206192.0
124,124,Tyson Chandler,Phoenix Suns,4,C,33,162,240,,13000000.0
125,125,Archie Goodwin,Phoenix Suns,20,SG,21,160,200,Kentucky,1160160.0
126,126,John Jenkins,Phoenix Suns,23,SG,25,177,215,Vanderbilt,981348.0
127,127,Brandon Knight,Phoenix Suns,3,PG,24,150,189,Kentucky,13500000.0
128,128,Alex Len,Phoenix Suns,21,C,22,155,260,Maryland,3807120.0
129,129,Jon Leuer,Phoenix Suns,30,PF,27,163,228,Wisconsin,1035000.0
130,130,Phil Pressey,Phoenix Suns,25,PG,25,174,175,Missouri,55722.0
131,131,Ronnie Price,Phoenix Suns,14,PG,32,158,190,Utah Valley,947276.0
132,132,Mirza Teletovic,Phoenix Suns,35,PF,30,165,242,,5500000.0
133,133,P.J. Tucker,Phoenix Suns,17,SF,31,155,245,Texas,5500000.0
134,134,T.J. Warren,Phoenix Suns,12,SF,22,176,230,North Carolina State,2041080.0
135,135,Alan Williams,Phoenix Suns,15,C,23,163,260,UC Santa Barbara,83397.0
136,136,Quincy Acy,Sacramento Kings,13,SF,25,167,240,Baylor,981348.0
137,137,James Anderson,Sacramento Kings,5,SG,27,154,213,Oklahoma State,1015421.0
138,138,Marco Belinelli,Sacramento Kings,3,SG,30,176,210,,6060606.0
139,139,Caron Butler,Sacramento Kings,31,SF,36,153,228,Connecticut,1449187.0
140,140,Omri Casspi,Sacramento Kings,18,SF,27,165,225,,2836186.0
141,141,Willie Cauley-Stein,Sacramento Kings,0,C,22,152,240,Kentucky,3398280.0
142,142,Darren Collison,Sacramento Kings,7,PG,28,151,175,UCLA,5013559.0
143,143,DeMarcus Cousins,Sacramento Kings,15,C,25,178,270,Kentucky,15851950.0
144,144,Seth Curry,Sacramento Kings,30,SG,25,165,185,Duke,947276.0
145,145,Duje Dukan,Sacramento Kings,26,PF,24,152,220,Wisconsin,525093.0
146,146,Rudy Gay,Sacramento Kings,8,SF,29,151,230,Connecticut,12403101.0
147,147,Kosta Koufos,Sacramento Kings,41,C,27,169,265,Ohio State,7700000.0
148,148,Ben McLemore,Sacramento Kings,23,SG,23,154,195,Kansas,3156600.0
149,149,Eric Moreland,Sacramento Kings,25,PF,24,170,238,Oregon State,845059.0
150,150,Rajon Rondo,Sacramento Kings,9,PG,30,171,186,Kentucky,9500000.0
151,151,Cameron Bairstow,Chicago Bulls,41,PF,25,160,250,New Mexico,845059.0
152,152,Aaron Brooks,Chicago Bulls,0,PG,31,166,161,Oregon,2250000.0
153,153,Jimmy Butler,Chicago Bulls,21,SG,26,164,220,Marquette,16407500.0
154,154,Mike Dunleavy,Chicago Bulls,34,SG,35,178,230,Duke,4500000.0
155,155,Cristiano Felicio,Chicago Bulls,6,PF,23,158,275,,525093.0
156,156,Pau Gasol,Chicago Bulls,16,C,35,157,250,,7448760.0
157,157,Taj Gibson,Chicago Bulls,22,PF,30,163,225,USC,8500000.0
158,158,Justin Holiday,Chicago Bulls,7,SG,27,171,185,Washington,947276.0
159,159,Doug McDermott,Chicago Bulls,3,SF,24,169,225,Creighton,2380440.0
160,160,Nikola Mirotic,Chicago Bulls,44,PF,25,168,220,,5543725.0
161,161,E'Twaun Moore,Chicago Bulls,55,SG,27,168,191,Purdue,1015421.0
162,162,Joakim Noah,Chicago Bulls,13,C,31,163,232,Florida,13400000.0
163,163,Bobby Portis,Chicago Bulls,5,PF,21,155,230,Arkansas,1391160.0
164,164,Derrick Rose,Chicago Bulls,1,PG,27,171,190,Memphis,20093064.0
165,165,Tony Snell,Chicago Bulls,20,SF,24,165,200,New Mexico,1535880.0
166,166,Matthew Dellavedova,Cleveland Cavaliers,8,PG,25,175,198,Saint Mary's,1147276.0
167,167,Channing Frye,Cleveland Cavaliers,9,PF,33,161,255,Arizona,8193029.0
168,168,Kyrie Irving,Cleveland Cavaliers,2,PG,24,157,193,Duke,16407501.0
169,169,LeBron James,Cleveland Cavaliers,23,SF,31,170,250,,22970500.0
170,170,Richard Jefferson,Cleveland Cavaliers,24,SF,35,171,233,Arizona,947276.0
171,171,Dahntay Jones,Cleveland Cavaliers,30,SG,35,158,225,Duke,4833969.0
172,172,James Jones,Cleveland Cavaliers,1,SG,35,170,218,Miami (FL),947276.0
173,173,Sasha Kaun,Cleveland Cavaliers,14,C,31,170,260,Kansas,1276000.0
174,174,Kevin Love,Cleveland Cavaliers,0,PF,27,154,251,UCLA,19689000.0
175,175,Jordan McRae,Cleveland Cavaliers,12,SG,25,166,179,Tennessee,111196.0
176,176,Timofey Mozgov,Cleveland Cavaliers,20,C,29,168,275,,4950000.0
177,177,Iman Shumpert,Cleveland Cavaliers,4,SG,25,164,220,Georgia Tech,8988765.0
178,178,J.R. Smith,Cleveland Cavaliers,5,SG,30,155,225,,5000000.0
179,179,Tristan Thompson,Cleveland Cavaliers,13,C,25,156,238,Texas,14260870.0
180,180,Mo Williams,Cleveland Cavaliers,52,PG,33,156,198,Alabama,2100000.0
181,181,Joel Anthony,Detroit Pistons,50,C,33,161,245,UNLV,2500000.0
182,182,Aron Baynes,Detroit Pistons,12,C,29,179,260,Washington State,6500000.0
183,183,Steve Blake,Detroit Pistons,22,PG,36,180,172,Maryland,2170465.0
184,184,Lorenzo Brown,Detroit Pistons,17,PG,25,164,189,North Carolina State,111444.0
185,185,Reggie Bullock,Detroit Pistons,25,SF,25,168,205,North Carolina,1252440.0
186,186,Kentavious Caldwell-Pope,Detroit Pistons,5,SG,23,154,205,Georgia,2891760.0
187,187,Spencer Dinwiddie,Detroit Pistons,8,PG,23,171,200,Colorado,845059.0
188,188,Andre Drummond,Detroit Pistons,0,C,22,162,279,Connecticut,3272091.0
189,189,Tobias Harris,Detroit Pistons,34,SF,23,169,235,Tennessee,16000000.0
190,190,Darrun Hilliard,Detroit Pistons,6,SF,23,156,205,Villanova,600000.0
191,191,Reggie Jackson,Detroit Pistons,1,PG,26,158,208,Boston College,13913044.0
192,192,Stanley Johnson,Detroit Pistons,3,SF,20,161,245,Arizona,2841960.0
193,193,Jodie Meeks,Detroit Pistons,20,SG,28,168,210,Kentucky,6270000.0
194,194,Marcus Morris,Detroit Pistons,13,PF,26,177,235,Kansas,5000000.0
195,195,Anthony Tolliver,Detroit Pistons,43,PF,31,156,240,Creighton,3000000.0
196,196,Lavoy Allen,Indiana Pacers,5,PF,27,169,255,Temple,4050000.0
197,197,Rakeem Christmas,Indiana Pacers,25,PF,24,167,250,Syracuse,1007026.0
198,198,Monta Ellis,Indiana Pacers,11,SG,30,172,185,,10300000.0
199,199,Paul George,Indiana Pacers,13,SF,26,151,220,Fresno State,17120106.0
200,200,George Hill,Indiana Pacers,3,PG,30,154,188,IUPUI,8000000.0
201,201,Jordan Hill,Indiana Pacers,27,C,28,175,235,Arizona,4000000.0
202,202,Solomon Hill,Indiana Pacers,44,SF,25,170,225,Arizona,1358880.0
203,203,Ty Lawson,Indiana Pacers,10,PG,28,153,195,North Carolina,211744.0
204,204,Ian Mahinmi,Indiana Pacers,28,C,29,165,250,,4000000.0
205,205,C.J. Miles,Indiana Pacers,0,SF,29,157,231,,4394225.0
206,206,Glenn Robinson III,Indiana Pacers,40,SG,22,155,222,Michigan,1100000.0
207,207,Rodney Stuckey,Indiana Pacers,2,PG,30,172,205,Eastern Washington,7000000.0
208,208,Myles Turner,Indiana Pacers,33,PF,20,154,243,Texas,2357760.0
209,209,Shayne Whittington,Indiana Pacers,42,PF,25,168,250,Western Michigan,845059.0
210,210,Joe Young,Indiana Pacers,1,PG,23,159,180,Oregon,1007026.0
211,211,Giannis Antetokounmpo,Milwaukee Bucks,34,SF,21,156,222,,1953960.0
212,212,Jerryd Bayless,Milwaukee Bucks,19,PG,27,158,200,Arizona,3000000.0
213,213,Michael Carter-Williams,Milwaukee Bucks,5,PG,24,178,190,Syracuse,2399040.0
214,214,Jared Cunningham,Milwaukee Bucks,9,SG,25,179,195,Oregon State,947276.0
215,215,Tyler Ennis,Milwaukee Bucks,11,PG,21,174,194,Syracuse,1662360.0
216,216,John Henson,Milwaukee Bucks,31,PF,25,163,229,North Carolina,2943221.0
217,217,Damien Inglis,Milwaukee Bucks,17,SF,21,158,246,,855000.0
218,218,O.J. Mayo,Milwaukee Bucks,3,SG,28,160,210,USC,8000000.0
219,219,Khris Middleton,Milwaukee Bucks,22,SG,24,173,234,Texas A&M,14700000.0
220,220,Greg Monroe,Milwaukee Bucks,15,C,26,164,265,Georgetown,16407500.0
221,221,Steve Novak,Milwaukee Bucks,6,SF,32,154,225,Marquette,295327.0
222,222,Johnny O'Bryant III,Milwaukee Bucks,77,PF,23,158,257,LSU,845059.0
223,223,Jabari Parker,Milwaukee Bucks,12,PF,21,156,250,Duke,5152440.0
224,224,Miles Plumlee,Milwaukee Bucks,18,C,27,180,249,Duke,2109294.0
225,225,Greivis Vasquez,Milwaukee Bucks,21,PG,29,150,217,Maryland,6600000.0
226,226,Rashad Vaughn,Milwaukee Bucks,20,SG,19,173,202,UNLV,1733040.0
227,227,Justin Anderson,Dallas Mavericks,1,SG,22,157,228,Virginia,1449000.0
228,228,J.J. Barea,Dallas Mavericks,5,PG,31,172,185,Northeastern,4290000.0
229,229,Jeremy Evans,Dallas Mavericks,21,SF,28,168,200,Western Kentucky,1100602.0
230,230,Raymond Felton,Dallas Mavericks,2,PG,31,170,205,North Carolina,3950313.0
231,231,Devin Harris,Dallas Mavericks,34,PG,33,178,185,Wisconsin,4053446.0
232,232,David Lee,Dallas Mavericks,42,PF,33,151,245,Florida,2085671.0
233,233,Wesley Matthews,Dallas Mavericks,23,SG,29,150,220,Marquette,16407500.0
234,234,JaVale McGee,Dallas Mavericks,11,C,28,161,270,Nevada,1270964.0
235,235,Salah Mejri,Dallas Mavericks,50,C,29,150,245,,525093.0
236,236,Dirk Nowitzki,Dallas Mavericks,41,PF,37,167,245,,8333334.0
237,237,Zaza Pachulia,Dallas Mavericks,27,C,32,178,275,,5200000.0
238,238,Chandler Parsons,Dallas Mavericks,25,SF,27,180,230,Florida,15361500.0
239,239,Dwight Powell,Dallas Mavericks,7,PF,24,170,240,Stanford,845059.0
240,240,Charlie Villanueva,Dallas Mavericks,3,PF,31,180,232,Connecticut,947276.0
241,241,Deron Williams,Dallas Mavericks,8,PG,31,163,200,Illinois,5378974.0
242,242,Trevor Ariza,Houston Rockets,1,SF,30,180,215,UCLA,8193030.0
243,243,Michael Beasley,Houston Rockets,8,SF,27,155,235,Kansas State,306527.0
244,244,Patrick Beverley,Houston Rockets,2,PG,27,153,185,Arkansas,6486486.0
245,245,Corey Brewer,Houston Rockets,33,SG,30,150,186,Florida,8229375.0
246,246,Clint Capela,Houston Rockets,15,PF,22,180,240,,1242720.0
247,247,Sam Dekker,Houston Rockets,7,SF,22,178,230,Wisconsin,1646400.0
248,248,Andrew Goudelock,Houston Rockets,0,PG,27,175,200,Charleston,200600.0
249,249,James Harden,Houston Rockets,13,SG,26,158,220,Arizona State,15756438.0
250,250,Montrezl Harrell,Houston Rockets,35,PF,22,160,240,Louisville,1000000.0
251,251,Dwight Howard,Houston Rockets,12,C,30,168,265,,22359364.0
252,252,Terrence Jones,Houston Rockets,6,PF,24,161,252,Kentucky,2489530.0
253,253,K.J. McDaniels,Houston Rockets,32,SG,23,171,205,Clemson,3189794.0
254,254,Donatas Motiejunas,Houston Rockets,20,PF,25,172,222,,2288205.0
255,255,Josh Smith,Houston Rockets,5,C,30,151,225,,947276.0
256,256,Jason Terry,Houston Rockets,31,SG,38,155,185,Arizona,947276.0
257,257,Jordan Adams,Memphis Grizzlies,3,SG,21,179,209,UCLA,1404600.0
258,258,Tony Allen,Memphis Grizzlies,9,SG,34,160,213,Oklahoma State,5158539.0
259,259,Chris Andersen,Memphis Grizzlies,7,PF,37,164,245,Blinn College,5000000.0
260,260,Matt Barnes,Memphis Grizzlies,22,SF,36,165,226,UCLA,3542500.0
261,261,Vince Carter,Memphis Grizzlies,15,SG,39,178,220,North Carolina,4088019.0
262,262,Mike Conley,Memphis Grizzlies,11,PG,28,180,175,Ohio State,9588426.0
263,263,Bryce Cotton,Memphis Grizzlies,8,PG,23,156,165,Providence,700902.0
264,264,Jordan Farmar,Memphis Grizzlies,4,PG,29,158,180,UCLA,4833969.0
265,265,Marc Gasol,Memphis Grizzlies,33,C,31,175,255,,19688000.0
266,266,JaMychal Green,Memphis Grizzlies,0,PF,25,171,227,Alabama,845059.0
267,267,P.J. Hairston,Memphis Grizzlies,19,SF,23,170,230,North Carolina,1201440.0
268,268,Jarell Martin,Memphis Grizzlies,10,PF,22,163,239,LSU,1230840.0
269,269,Ray McCallum,Memphis Grizzlies,5,PG,24,150,190,Detroit,4833969.0
270,270,Xavier Munford,Memphis Grizzlies,14,PG,24,157,180,Rhode Island,4833969.0
271,271,Zach Randolph,Memphis Grizzlies,50,PF,34,160,260,Michigan State,9638555.0
272,272,Lance Stephenson,Memphis Grizzlies,1,SF,25,160,230,Cincinnati,9000000.0
273,273,Alex Stepheson,Memphis Grizzlies,35,PF,28,165,270,USC,4833969.0
274,274,Brandan Wright,Memphis Grizzlies,34,PF,28,175,210,North Carolina,5464000.0
275,275,Alexis Ajinca,New Orleans Pelicans,42,C,28,169,248,,4389607.0
276,276,Ryan Anderson,New Orleans Pelicans,33,PF,28,159,240,California,8500000.0
277,277,Omer Asik,New Orleans Pelicans,3,C,29,174,255,,9213483.0
278,278,Luke Babbitt,New Orleans Pelicans,8,SF,26,179,225,Nevada,1100602.0
279,279,Norris Cole,New Orleans Pelicans,30,PG,27,157,175,Cleveland State,3036927.0
280,280,Dante Cunningham,New Orleans Pelicans,44,PF,29,152,230,Villanova,2850000.0
281,281,Anthony Davis,New Orleans Pelicans,23,PF,23,157,253,Kentucky,7070730.0
282,282,Bryce Dejean-Jones,New Orleans Pelicans,31,SG,23,155,203,Iowa State,169883.0
283,283,Toney Douglas,New Orleans Pelicans,16,PG,30,174,195,Florida State,1164858.0
284,284,James Ennis,New Orleans Pelicans,4,SF,25,157,210,Long Beach State,845059.0
285,285,Tyreke Evans,New Orleans Pelicans,1,SG,26,172,220,Memphis,10734586.0
286,286,Tim Frazier,New Orleans Pelicans,2,PG,25,152,170,Penn State,845059.0
287,287,Alonzo Gee,New Orleans Pelicans,15,SF,29,171,225,Alabama,1320000.0
288,288,Eric Gordon,New Orleans Pelicans,10,SG,27,178,215,Indiana,15514031.0
289,289,Jordan Hamilton,New Orleans Pelicans,25,SG,25,170,220,Texas,1015421.0
290,290,Jrue Holiday,New Orleans Pelicans,11,PG,25,151,205,UCLA,10595507.0
291,291,Orlando Johnson,New Orleans Pelicans,0,SG,27,161,220,UC Santa Barbara,55722.0
292,292,Kendrick Perkins,New Orleans Pelicans,5,C,31,160,270,,947276.0
293,293,Quincy Pondexter,New Orleans Pelicans,20,SF,28,159,220,Washington,3382023.0
294,294,LaMarcus Aldridge,San Antonio Spurs,12,PF,30,165,240,Texas,19689000.0
295,295,Kyle Anderson,San Antonio Spurs,1,SF,22,156,230,UCLA,1142880.0
296,296,Matt Bonner,San Antonio Spurs,15,C,36,180,235,Florida,947276.0
297,297,Boris Diaw,San Antonio Spurs,33,C,34,170,250,,7500000.0
298,298,Tim Duncan,San Antonio Spurs,21,C,40,165,250,Wake Forest,5250000.0
299,299,Manu Ginobili,San Antonio Spurs,20,SG,38,161,205,,2814000.0
300,300,Danny Green,San Antonio Spurs,14,SG,28,161,215,North Carolina,10000000.0
301,301,Kawhi Leonard,San Antonio Spurs,2,SF,24,175,230,San Diego State,16407500.0
302,302,Boban Marjanovic,San Antonio Spurs,40,C,27,165,290,,1200000.0
303,303,Kevin Martin,San Antonio Spurs,23,SG,33,154,199,Western Carolina,200600.0
304,304,Andre Miller,San Antonio Spurs,24,PG,40,174,200,Utah,250750.0
305,305,Patty Mills,San Antonio Spurs,8,PG,27,157,185,Saint Mary's,3578947.0
306,306,Tony Parker,San Antonio Spurs,9,PG,34,155,185,,13437500.0
307,307,Jonathon Simmons,San Antonio Spurs,17,SG,26,166,195,Houston,525093.0
308,308,David West,San Antonio Spurs,30,PF,35,177,250,Xavier,1499187.0
309,309,Kent Bazemore,Atlanta Hawks,24,SF,26,172,201,Old Dominion,2000000.0
310,310,Tim Hardaway Jr.,Atlanta Hawks,10,SG,24,154,205,Michigan,1304520.0
311,311,Kirk Hinrich,Atlanta Hawks,12,SG,35,151,190,Kansas,2854940.0
312,312,Al Horford,Atlanta Hawks,15,C,30,170,245,Florida,12000000.0
313,313,Kris Humphries,Atlanta Hawks,43,PF,31,151,235,Minnesota,1000000.0
314,314,Kyle Korver,Atlanta Hawks,26,SG,35,161,212,Creighton,5746479.0
315,315,Paul Millsap,Atlanta Hawks,4,PF,31,166,246,Louisiana Tech,18671659.0
316,316,Mike Muscala,Atlanta Hawks,31,PF,24,180,240,Bucknell,947276.0
317,317,Lamar Patterson,Atlanta Hawks,13,SG,24,161,225,Pittsburgh,525093.0
